OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
162,3071,PROSPERITY TRAIL,GREENWAY,OPEN SPACE/TRAIL,MINOR,,PROSPERITY DR,KITCHENER,2005-02-18,2014-05-07,OPERATIONS,2005-02-18,10486.785762795,1005.10041760044
163,2321,STECKLE WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MAJOR,,BLEAMS RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,300532.79034224,2342.12991778571
164,2407,GILDNER GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,29,EDEN AVE,KITCHENER/REGION,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,4356.478255715,431.707284352126
165,2390,BRIARFIELD PARK,NATURAL AREA,OPEN SPACE,MINOR,,BRIARFIELD ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,32683.236374245,850.786900046518
166,2401,ARGYLE PARK,GREEN (PARKETTE),PLAY AREA,LOCAL,80,ARGYLE ST,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,2273.290800395,219.281720693703
167,2393,FORFAR PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,80,FORFAR AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,6786.87177633,365.506831119254
168,2274,BROOK GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,QUEENS BLVD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1930.123303845,182.817688560662
169,2348,CARISBROOK DRIVE NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,CARISBROOK DRIVE,KITCHENER,2003-09-24,2015-05-21,OPERATIONS,2016-04-21,115347.941048085,1433.01401564362
170,2288,CHANDLER PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,222,CHANDLER DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,8416.24325069,408.463087592553
171,5312,BRITTANIA CRES - SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,BRITTANIA CRES,KITCHENER,2009-04-19,2014-01-11,58M-471,2008-12-12,9032.879060105,439.941996266328
172,5542,OLD HURON COURT - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,OLD HURON CRT,KITCHENER,2010-09-19,2015-05-21,OPERATIONS,2016-04-21,916.55095941,121.190660453475
173,2292,FOREST HILL PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,MINOR,330,VILLAGE RD,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,24537.22249911,969.989816831577
174,2286,CASEY PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,50,CASEY DR,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,8987.932981485,440.298422852259
175,2511,SPRINGMOUNT PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,27,SPRINGMOUNT DR,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,18718.125398545,1298.2025338775
176,5545,SCHNEIDER CREEK PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,GREEN VALLEY DR,REGION,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,27451.10190365,715.29337384674
177,2963,WOOLNER WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,WOOLNER DR,KITCHENER,2005-01-31,2014-05-07,OPERATIONS,2005-01-31,35362.181378265,755.461863495002
178,5535,STAUFFER COMMUNITY PARK,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,STAUFFER DR,KITCHENER,2010-09-19,2013-02-20,KPMP,2010-06-01,62559.074006985,1108.53609553313
179,3622,SIMS SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,LOCAL,,SIMS ESTATE DR,KITCHENER,2006-04-07,2014-05-07,PLANNING,2016-04-21,6959.900587345,386.596169911514
180,2338,LORILEE PARK,NATURAL AREA,OPEN SPACE,MINOR,,LORILEE CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,17964.28793906,651.559505071978
181,5494,TRAILVIEW PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,TRAILVIEW DRIVE,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,19258.102300515,774.417139915968
182,2481,ROLLING MEADOWS PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,200,ROLLING MEADOWS DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,14337.815005325,724.62506035283
183,2530,OLD HURON GREEN,GREEN,PASSIVE AREA,LOCAL,,BIEHN DR & OLD HURON PL,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,12181.01851063,1294.01825070316
184,2289,CLOVERDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,45,BIRCHCLIFF AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,20199.67997864,730.530382259037
185,2499,EXPRESSWAY TRAIL,GREENWAY,OPEN SPACE/TRAIL,LOCAL,,KRUG ST TO BURBANK RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,9167.55284917,1810.54952368313
186,2553,GREENBROOK PUMPING STATION,NEIGHBOURHOOD PARK,PLAY AREA-LIMITED ACCESS,MINOR,20,GREENBROOK DRIVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,42409.834529435,867.826085279238
187,2483,STANLEY PARK OPTIMIST NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,MAJOR,2500,VICTORIA ST N,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,179525.141604345,3883.45596396874
188,2355,NORTHFOREST PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,90,NORTHFOREST TRAIL,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,8471.512761075,697.225739372857
189,2323,STRASBURG WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,STRASBURG RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,25391.47489324,969.843603985619
190,5510,SETTLERS GROVE PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,PIONEER TOWER RD,KITCHENER,2010-09-19,2015-07-31,OPERATIONS,2016-04-21,37969.598894305,1769.40430285028
