OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
131,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,131,40.4698010985928
132,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,132,16.9792750778707
133,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,133,13.0851559386963
134,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,134,66.0027863058068
135,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,135,74.753788703264
136,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,136,28.2090209773399
137,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,137,14.8332409843567
138,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2000,2000-04-01,138,71.8208774878797
139,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2016-04-19,139,379.599552874199
140,SIDEWALK,NA,,CONCRETE,3.5,N,ORTHO 2014,2014-05-15,140,10.5268700820102
141,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,141,87.5450697843744
142,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,142,5.4870451374123
143,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,143,213.445796673491
144,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,144,66.0109207988607
145,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,145,302.837979569231
146,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,146,348.121305594845
147,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,147,20.0524832442269
148,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,148,16.2544503419833
149,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,149,99.8283187629643
150,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,150,87.545525868983
151,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,151,18.9611651764864
152,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,152,184.774336719311
153,SIDEWALK,NA,,CONCRETE,4.5,N,ORTHO 2014,2014-05-15,153,11.5900718350429
154,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,154,83.5971573867198
155,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,155,25.8305809369437
156,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,156,18.539764322666
157,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,157,17.186826828999
158,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,158,85.8677067431892
159,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,159,140.866724372401
160,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-10-01,160,66.294745546631
161,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,2.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,161,42.8060096051088
162,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,162,44.5887267245441
163,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,163,42.7176969477221
164,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,164,111.430258080718
165,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,165,20.9274704455651
166,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,MODERATE,CCL TRAIL,2010-09-01,166,4.16354679810375
167,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,167,12.1713598439123
168,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,168,17.6391658924111
169,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,169,16.1876246441533
170,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,170,15.5632903057162
171,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,171,18.2440933742951
172,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,172,15.6374505175876
173,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,173,116.977744988395
174,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,174,17.11827513069
175,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,175,26.5870292413644
176,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,176,18.2179935152036
177,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,177,78.9069068754441
178,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,178,19.2954126685593
179,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,179,88.6227752017447
180,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,180,5.05097850911465
181,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,181,189.200099869311
182,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,182,9.60257243919565
183,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-10-01,183,77.7379411062609
184,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,184,18.4161756651591
185,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,185,18.0324959517533
186,TRAIL,CONNECTING PATHWAY,SURFACE,GRAVEL,3,TO INPUT,2009 ORTHO,2009-04-15,186,38.9673944839405
187,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,187,14.0580259030207
188,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,188,16.0979785066324
189,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,189,118.361178718671
190,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,190,10.9528837526927
191,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,191,11.3134323549487
192,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,192,13.9435149962267
193,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,193,22.9512160603747
194,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,194,14.0714541004119
195,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,195,8.6849883528995
196,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,196,17.915674112352
197,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,197,12.7610306057152
198,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,198,98.8806230660804
199,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,199,70.3887248461002
200,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,200,14.2323116031796
201,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,201,14.8697115388968
202,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,202,12.4465734352873
203,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,203,85.430227668277
204,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,204,8.06626664820845
205,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,205,19.1989254412845
206,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,206,155.113005627297
207,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,207,112.909542702333
208,SIDEWALK,NA,,CONCRETE,1.5,N,434871,2009-04-14,208,119.476772388908
209,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,209,77.6671873003057
210,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,210,16.6228938362128
211,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,211,202.244484050187
